blinkStrength
145
71
34
42
38
41
65
35
40
60
63
119
155
187
255
39
38
93
42
33
87
31
36
32
32
32
158
65
52
38
37
40
36
35
38
53
53
42
34
42
47
46
43
126
36
55
40
39
54
49
48
32
33
36
64
32
31
32
31
35
35
blinkStrength
blinkStrength
blinkStrength
blinkStrength
53
55
53
66
42
72
68
45
106
67
62
59
32
50
44
blinkStrength
48
89
54
80
84
69
77
68
69
blinkStrength
51
65
57
47
45
55
55
45
47
40
46
blinkStrength
58
85
59
62
52
56
