200,idle
200,scanning
200,scanning
200,scanning
200,scanning
200,scanning
200,scanning
200,scanning
200,scanning
200,scanning
200,scanning
200,scanning
200,scanning
"{'attention': 0, 'meditation': 0}","{'delta': 146177, 'theta': 109394, 'lowAlpha': 29168, 'highAlpha': 44706, 'lowBeta': 9900, 'highBeta': 22971, 'lowGamma': 13232, 'highGamma': 39776}",26
"{'attention': 0, 'meditation': 0}","{'delta': 923980, 'theta': 439528, 'lowAlpha': 52246, 'highAlpha': 12802, 'lowBeta': 46167, 'highBeta': 36939, 'lowGamma': 9116, 'highGamma': 255315}",26
99
"{'attention': 0, 'meditation': 0}","{'delta': 73240, 'theta': 33124, 'lowAlpha': 2659, 'highAlpha': 10120, 'lowBeta': 3697, 'highBeta': 4473, 'lowGamma': 1863, 'highGamma': 6808}",51
"{'attention': 0, 'meditation': 0}","{'delta': 1155316, 'theta': 80609, 'lowAlpha': 11770, 'highAlpha': 36538, 'lowBeta': 40367, 'highBeta': 35924, 'lowGamma': 10585, 'highGamma': 61642}",51
"{'attention': 0, 'meditation': 0}","{'delta': 2040759, 'theta': 88301, 'lowAlpha': 316517, 'highAlpha': 110269, 'lowBeta': 10290, 'highBeta': 18537, 'lowGamma': 8895, 'highGamma': 87066}",0
"{'attention': 0, 'meditation': 0}","{'delta': 1957303, 'theta': 480733, 'lowAlpha': 437614, 'highAlpha': 426480, 'lowBeta': 54033, 'highBeta': 75161, 'lowGamma': 48716, 'highGamma': 432206}",0
"{'attention': 0, 'meditation': 0}","{'delta': 687139, 'theta': 52551, 'lowAlpha': 15791, 'highAlpha': 17104, 'lowBeta': 17477, 'highBeta': 7879, 'lowGamma': 2853, 'highGamma': 54883}",26
"{'attention': 0, 'meditation': 0}","{'delta': 115432, 'theta': 136082, 'lowAlpha': 59953, 'highAlpha': 4921, 'lowBeta': 25307, 'highBeta': 4692, 'lowGamma': 3723, 'highGamma': 27930}",26
121
"{'attention': 0, 'meditation': 0}","{'delta': 1744222, 'theta': 1267220, 'lowAlpha': 766182, 'highAlpha': 103504, 'lowBeta': 154598, 'highBeta': 270193, 'lowGamma': 181824, 'highGamma': 628537}",0
125
"{'attention': 43, 'meditation': 30}","{'delta': 458206, 'theta': 199981, 'lowAlpha': 57207, 'highAlpha': 32269, 'lowBeta': 24281, 'highBeta': 22118, 'lowGamma': 3839, 'highGamma': 97672}",0
130
"{'attention': 43, 'meditation': 30}","{'delta': 205876, 'theta': 37188, 'lowAlpha': 4894, 'highAlpha': 5939, 'lowBeta': 1983, 'highBeta': 4658, 'lowGamma': 1168, 'highGamma': 16020}",26
78
39
