poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,238550,35741,2988,4470,2861,791,208,6976,21,34
,1432499,364909,142250,76991,103627,30691,11467,79583,21,34
,831359,1157899,384087,296242,29563,26342,5732,157326,21,34
,62964,129055,247204,26751,8475,5801,3775,47207,21,34
,978570,580010,237037,102597,80914,83407,17776,165340,21,34
,164221,53535,13002,15311,8235,6100,1097,22468,21,34
,1971953,227731,8006,9194,27003,7875,3880,24540,14,16
,767384,59703,8156,11158,12760,3436,892,21127,24,3
,163636,44701,36435,10957,6127,3277,1369,18789,20,16
,548880,196923,54044,50517,27566,12534,1984,55276,26,34
,1604424,691223,80960,120499,39746,38310,7904,93676,26,34
,138900,79122,4751,3327,3077,2570,696,8123,26,38
,321050,27379,8811,10016,4002,2919,597,8542,29,47
,196498,47912,12640,15993,4951,2752,1986,9114,29,47
,883276,89112,5907,27813,8881,5389,1868,14361,34,34
,633911,362432,249644,72564,22592,13210,3816,106670,24,40
,2002676,50425,247643,13964,7322,16471,2885,97190,30,77
,403460,423393,579159,24598,15342,12565,8296,111240,16,84
,137690,353565,108803,195478,24813,9994,2682,44314,16,84
,520218,1566298,459113,200785,68851,48692,16817,165671,16,84
,99038,907159,270601,404906,98724,54503,10991,156509,16,84
,168352,25240,9531,2035,2887,611,465,4809,16,84
,127944,76790,11972,6195,4606,1850,441,9033,8,81
,278859,678592,273614,134312,48950,125051,38501,32489,8,81
,742153,223435,119342,101592,30811,5222,3764,59410,3,80
,1121707,416298,37939,50782,28009,6456,4088,72472,1,50
,444936,61592,21301,4709,5221,4585,1571,26448,1,50
,529373,325032,135748,121753,19592,14650,7501,19192,1,48
,1736500,1653589,260787,287265,71592,32091,17212,166708,1,48
,1869941,625625,85152,416498,107512,35101,37028,215168,1,48
,194362,1089963,336632,309229,32894,17511,18451,162626,1,48
,280520,851532,266425,36595,26290,24517,4493,109295,1,53
,717336,183940,69980,21863,13761,8897,18322,49589,1,40
,157182,172748,154446,52568,3924,6161,820,23338,1,40
,814809,209433,369370,79301,19193,20601,9861,36183,1,40
,803780,575048,136174,208752,20349,43651,21905,79852,1,40
,962847,1521958,441720,236757,166344,149188,33792,33297,1,40
,171936,343971,86732,74450,18142,18669,5387,50399,1,40
,206879,1127199,501228,738766,103881,94238,14870,206336,1,40
,1571157,1838176,412470,354161,111847,39419,8511,140182,1,40
,613377,944523,129928,395470,33451,30729,32000,172431,1,40
,458961,279000,303249,319520,76122,12687,28167,121872,4,63
,581833,285858,49669,82211,44348,56912,14215,105722,4,63
,486907,217834,358498,83324,26624,9861,10116,124221,1,66
,112959,56089,37333,2537,2236,5235,539,7580,1,66
,717692,567002,111767,43462,14902,25076,8236,99309,1,63
,233525,31217,6995,568,1058,1456,629,5211,1,63
,62265,10460,25237,2932,3595,1157,346,7175,1,63
,236986,60600,26767,37339,1953,5484,2886,36642,1,63
,118898,110501,32761,19036,9340,4974,1483,21755,8,66
,89887,59395,3440,8520,3483,5089,1169,15103,35,30
,109757,129653,133303,16805,9723,8215,2069,29895,35,30
,1048620,701058,552835,226199,21146,27752,7356,114642,35,30
,596612,591292,284345,80118,57816,16066,7530,133902,27,40
,814922,303332,275226,119243,18752,18765,9115,109022,27,51
,1697742,520385,147930,90746,53649,32199,8593,142630,27,51
,630948,1038430,541682,393995,54603,104677,23878,298792,27,51
,56139,263382,143446,91446,11312,21599,4308,40090,27,51
,2070357,451654,1146011,193786,60088,113658,55146,154968,27,51
,2976173,417993,41253,46126,79139,6966,8558,132284,27,51
,272245,34325,89066,9651,16363,8779,2067,21674,27,51
,135467,63041,83169,102321,25303,13200,5002,58339,27,63
,842297,206902,83640,74249,30967,17183,5785,46919,24,77
,968016,354434,308931,119183,56169,23073,5101,76067,24,77
,1320822,32361,11632,7035,3295,8394,4452,22517,24,77
,270271,235669,130948,35428,6511,9741,4271,29473,24,77
,1590431,943640,536780,77748,61127,33050,29030,124030,24,77
,187053,49144,19993,22823,6038,1730,538,8130,24,81
,992836,490497,159846,21287,92590,34795,36387,117821,30,66
,954460,630637,199575,41699,49356,44027,12514,59859,30,66
