blinkStrength
145
71
34
42
38
41
65
35
40
60
63
119
155
187
255
39
38
93
42
33
87
31
36
32
32
32
158
65
52
38
37
40
36
35
38
53
53
42
34
42
47
46
43
126
36
55
40
39
54
49
48
32
33
36
64
32
31
32
31
35
35
