blinkStrength
55
40
41
51
43
47
38
62
79
120
68
47
53
53
33
84
61
41
41
36
56
50
45
37
35
59
39
33
49
47
42
56
50
128
49
37
45
62
63
92
107
130
55
35
36
43
52
108
52
45
123
55
73
42
51
115
52
62
66
36
43
33
103
34
51
54
111
63
35
42
54
50
102
60
49
60
66
64
70
40
37
70
40
82
50
63
154
96
76
78
64
67
62
67
73
79
59
170
99
77
64
52
100
62
86
91
50
53
86
71
203
77
55
57
44
67
47
41
38
87
64
70
42
51
47
110
43
46
44
53
86
34
51
45
44
60
34
32
40
39
46
42
49
59
73
108
59
62
54
43
82
154
72
33
92
239
55
79
66
52
77
219
88
59
49
60
255
42
38
56
33
107
61
79
77
79
49
78
80
34
53
37
40
62
33
62
64
52
59
77
39
47
36
59
45
77
115
39
55
75
42
38
37
37
69
64
73
63
81
41
40
82
43
37
41
54
68
60
54
48
74
178
50
40
49
37
33
37
42
41
79
58
48
33
50
40
49
53
35
41
31
33
85
81
58
72
148
59
78
111
197
52
87
69
52
46
44
37
46
34
39
37
31
42
38
34
37
36
59
58
77
125
43
63
42
31
36
92
165
42
35
46
50
49
62
74
35
108
79
118
46
37
40
42
34
59
49
42
34
42
50
47
40
46
55
98
31
42
48
63
100
37
33
121
39
124
62
64
41
85
53
33
62
53
48
50
50
56
44
47
45
47
54
35
42
51
33
32
