poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,417006,17756,2153,1766,1298,2197,2020,662,47,83
,316637,87767,20159,19233,17868,20679,21027,7647,51,75
,1541018,238296,55899,60877,18176,30248,11112,10911,29,75
,48349,4948,3644,2319,2145,4988,2029,1150,48,83
,138040,204635,8538,14862,10062,4513,9944,2945,34,77
,432016,70571,10368,14911,15043,33424,8030,2321,43,74
,59136,53863,5854,15912,12574,14009,9613,3831,51,67
,8787,20707,7633,3370,8638,31130,13823,4273,60,56
,26368,4923,8609,4681,5899,16630,11359,3704,100,74
,107417,33606,33443,8400,24045,7281,13282,4998,84,84
,72081,57017,10890,11943,16725,12929,6541,5072,84,84
,36231,39491,8403,3890,7466,10446,8683,8568,67,87
,616278,101120,9326,23001,18537,9195,18198,6138,40,80
,31332,44218,3856,22176,15712,18071,9784,3083,50,74
,122144,38925,5261,4831,3129,4046,1676,1591,43,69
,811466,82025,22866,12502,7148,19358,8651,4272,40,75
,505225,113866,3003,4074,2252,2976,5126,1705,29,60
,63477,5012,2850,1552,459,812,274,460,17,67
,12922,45601,5608,3806,10054,13446,7793,5042,29,63
,31199,30537,12536,11760,15145,9759,19631,15422,29,64
,280761,27514,7660,634,4080,5907,4222,3207,50,80
,25526,6653,607,8217,7970,28313,5733,4071,78,67
,127368,22314,12096,3342,2010,8535,5505,3175,78,84
,1084621,80556,23976,5877,7804,6585,4644,622,66,88
,64078,46408,14812,5747,14837,27012,7967,9823,53,90
,159871,53811,3644,6649,4253,7607,2424,4140,44,75
,162376,46332,2984,15310,6927,2238,2729,4263,26,70
,145647,18692,8469,5476,7545,7921,6330,2207,40,74
,95963,96694,12884,5413,7540,8173,6999,2818,23,67
,204733,28715,18487,11056,11764,16593,5775,4438,34,83
,19934,19570,38634,6587,17717,8338,4985,4945,47,94
,156324,140152,19722,5399,25480,8705,6702,16200,30,84
,40537,43606,6322,19837,27652,13813,2459,5941,35,94
,1481951,136729,4570,36370,82349,7653,3134,2192,30,81
,1225830,157801,28404,22681,99513,16460,4437,2064,26,66
,117933,173183,79139,26137,52780,12357,8778,3570,13,69
,149775,255150,58487,20812,39207,16837,5113,3110,4,69
,61983,14753,4930,3772,1916,1611,1911,1102,8,80
,46584,105564,5182,4280,10476,4556,1398,932,1,70
,238902,160039,7923,12769,12836,16117,10029,2941,7,57
,44019,10765,1289,5236,8973,4327,1025,456,21,57
,497896,73269,28647,10338,28922,11577,5792,3245,26,54
,1183011,38767,6622,593,5228,3302,3552,1229,30,63
,590095,11023,1790,1543,2599,4065,3980,1084,43,67
,723136,80961,19050,13530,45772,9498,8794,2656,34,66
,931399,76991,7637,5906,10471,10919,3841,1166,34,56
,1749053,149506,13155,14628,4538,5317,742,737,10,54
,405428,244699,25692,22373,46748,23661,4170,3069,10,50
,529679,20403,15899,17417,8372,3092,1843,1453,3,74
,622694,24604,13216,13579,2570,3498,595,240,4,91
,768310,17758,7374,8185,3930,1188,877,319,4,91
,555992,18664,6669,2577,1405,1230,504,273,8,100
,1569020,192446,26546,38500,4889,10867,1680,1234,8,100
,388502,4156,1725,1203,859,408,176,71,4,100
,1646143,25789,5202,6806,9805,3925,845,841,4,100
,828000,265665,88605,37529,10348,59354,42300,11735,4,100
,46837,132914,177215,212962,215861,196259,84587,32734,4,100
,2255924,676315,391625,157128,142645,63984,36686,18943,4,100
,1173064,22219,4093,10200,9454,9875,978,392,20,100
,114294,82480,18074,2855,9617,12203,2244,1802,24,88
,93313,13739,2523,6361,11143,16900,10245,2380,53,80
,1479496,89465,37901,11464,13423,11076,13401,2562,37,77
,138985,31498,6829,4376,2902,4259,3447,1467,37,80
,1747134,124462,38468,39794,22286,13641,32440,3717,13,88
,6774,11632,7861,9720,3619,10274,2873,3961,44,100
,19078,42663,9834,13892,6321,19206,8654,4599,54,100
,38495,21644,14882,3801,13238,24197,9173,6142,75,97
