poorSignalLeveldeltathetalowAlphahighAlphalowBetahighBetalowGammahighGamma,attention,meditation
,1,2,0,1,1,1,2,1,0,0
,7,2,1,1,0,1,0,1,0,0
,7,0,1,0,0,1,0,0,0,0
,14636,16854,9626,5562,2117,317,28,60,0,0
,776,19,24,16,14,21,23,13,0,0
,730,579,70,386,274,113,255,3721,0,0
,14786,1520,2170,726,590,1689,862,113373,0,0
,19284,5359,1659,3243,3621,3741,1011,263315,0,0
,365097,146127,9380,29413,28507,8484,1983,102844,0,0
,2188461,622757,137766,182427,73338,73613,6379,616515,0,0
,719557,141699,68305,6777,33691,62616,26868,80408,0,0
,1227520,967398,336260,251568,146600,86559,117506,339105,0,0
,70440,3938,2789,960,981,143,143,11034,0,0
,1643477,151462,20087,2266,4521,5995,2098,60506,0,0
,1415418,740663,209339,105785,55764,23371,21330,444620,0,0
,684419,114570,32406,8776,30211,7794,1414,101248,0,0
,840995,27284,38544,28161,21905,13270,2215,130610,0,0
,272665,41814,4498,6297,1484,1779,755,39359,0,0
,772981,129722,7060,14030,20609,4473,1374,55537,0,0
,1315712,361707,36885,19957,7645,17163,10221,218104,0,0
,725050,328783,17862,21566,25933,14686,3652,201995,0,0
,635617,709178,29503,32546,32511,12152,4821,343259,0,0
,690395,138152,20090,7218,21568,14797,10932,12055,0,0
,3765793,214135,38453,14256,7320,11357,12588,3627,0,0
,807803,93799,17163,25872,19344,16245,8885,3944,0,0
,1201809,137949,40034,39153,46368,24908,8875,6519,0,0
,603247,167508,95438,11048,18430,28835,21788,7450,0,0
,579149,32000,3968,1944,5174,2894,2286,2869,0,0
,175918,23534,3211,2101,2865,1966,890,1143,0,0
,41942,7730,5315,3193,4231,8257,15644,16787,0,0
,1004415,197288,89355,80578,38966,27022,28248,124873,0,0
,754461,210925,29951,20630,7792,5997,2806,75344,0,0
,144273,19726,2226,684,1489,770,602,14023,0,0
,387051,150009,57445,12102,32364,17456,25135,284892,0,0
,219810,132291,21081,36320,14660,2963,8000,51667,0,0
,241008,19429,10675,4604,5996,7613,1471,77448,0,0
,688776,7444,4387,5249,3949,2330,1703,19920,0,0
,36820,3136,9442,5073,4712,14121,9311,298721,0,0
,11203,37333,2178,17339,5536,12257,7299,276886,0,0
,174487,9475,2799,1353,1429,2545,690,16237,0,0
,1045856,128558,27762,40339,13914,14873,9603,314950,0,0
,213752,45047,6422,7474,3097,2447,804,13332,0,0
,111736,41699,5554,5739,904,6988,2241,59775,0,0
,1405147,397330,54915,19114,37014,6508,11369,219351,0,0
,575651,85468,50191,14202,28756,23063,6850,107345,0,0
,1061132,484161,169482,57247,39532,15680,10485,501868,0,0
,331334,24082,3018,4984,3759,1031,822,32136,0,0
,618615,114812,17649,38791,54588,26453,27073,253172,0,0
,225261,241772,29858,20426,16145,7780,4794,7247,0,0
,1331091,438249,23329,23985,25600,12950,19746,39668,0,0
,1150472,113207,3037,25906,10529,5848,4989,4918,0,0
,414882,787424,71010,58965,116119,53113,31340,17241,0,0
,1350307,14354,8824,7662,6474,3282,4712,4142,0,0
,868536,332041,29875,23930,3167,15037,33559,16721,0,0
,607483,218718,17751,23282,29140,6186,8500,10528,0,0
,611056,282830,24248,17714,21312,5843,10054,9372,0,0
,35974,17280,1178,1430,1067,895,1933,1576,0,0
,1597868,1510152,52186,42720,24009,25564,53079,36619,0,0
,45842,26201,6436,2540,1118,1848,2592,1492,0,0
,1131407,90843,29311,48823,29285,4886,7549,7848,0,0
,129438,19223,4441,1213,1044,1061,2051,802,0,0
,270429,161934,6164,5827,5444,5711,8534,8926,0,0
,246689,53320,3058,4463,2291,10100,3449,6065,0,0
,874957,505260,23449,23114,11275,9580,23886,53100,0,0
,896703,57027,61204,10135,6643,10282,55443,17816,0,0
,149562,66745,20934,9781,10631,12712,34288,16186,0,0
,210532,16240,3539,4513,2134,3497,3388,1978,0,0
,335982,26019,5410,4269,3563,10653,12130,11305,0,0
,103268,88038,48085,65529,32597,17289,8508,11731,0,0
,1026207,58074,12575,14254,26153,13309,8598,10464,0,0
,1904379,163930,78426,75681,129661,88015,10441,16105,0,0
,1471991,447497,24190,58567,33962,64168,15259,4486,0,0
,698972,67610,124486,63164,30567,36769,49973,16302,35,53
,769564,46144,19279,6094,4759,2190,1104,3076,16,56
,292563,107447,268526,73771,97196,202939,15684,28357,16,56
,576238,90489,29801,39787,62544,13610,13881,54732,20,56
,1074152,278545,113877,61775,112770,33344,16144,25269,20,44
,444717,21577,3007,14488,10843,2062,1544,1076,29,44
,49188,10919,3207,4250,3752,2101,934,794,29,51
,243119,30950,5275,5983,3332,3118,2233,2514,26,47
,1270247,389438,14922,15946,14589,5955,5885,3201,11,29
,1291001,165550,69023,39267,20795,12572,6766,27197,16,29
,648614,48726,13219,25495,12018,7448,7445,42854,16,34
,50461,8607,9704,1560,937,4813,3419,67685,38,43
,83125,41235,9196,2495,3659,5473,3486,45912,74,51
,98207,48999,12438,13124,4237,4136,2363,42197,67,50
,1187757,299531,56948,86714,41426,19145,11808,72657,47,43
,1007606,85240,17704,13204,28494,18016,5993,3818,51,37
,281263,210180,3497,16005,6015,6119,4810,1847,37,24
,356305,96508,7125,38876,19879,10972,12699,5163,43,21
,1651136,32035,8324,19063,10469,11312,8337,5439,47,29
,110233,11911,8208,2902,759,863,758,165,37,38
,222041,23130,7459,4632,1299,4239,1357,1377,57,54
,151475,87743,13132,16753,18362,8639,4875,5633,57,51
,366041,145962,2803,20995,6106,8299,3551,1665,41,40
,1103581,695097,18195,27210,9893,27296,8202,4927,41,14
,1444787,610510,41475,76107,36448,15292,10902,2890,17,4
,142745,29310,19717,6967,22472,5107,8400,9716,21,13
,223236,40163,2186,2519,5622,15753,3537,5471,47,4
,198966,68349,3775,12491,6790,5031,3590,2091,51,17
,354350,25424,16097,4622,2393,3814,4195,2183,69,29
,110147,20657,601,3246,1169,1134,672,581,61,20
,338363,14185,6029,10571,5701,7131,2422,1706,53,41
,186429,50960,17430,5775,10800,6030,4023,1941,56,47
,101841,6022,744,1925,1165,1248,598,264,63,38
,395581,137836,17520,20859,17259,11847,21179,5192,67,40
,2243174,856232,442650,164695,202979,343421,93887,60921,67,40
,461444,42454,6802,11036,8540,6681,7021,3549,61,34
,1676024,98460,28539,12922,16811,10479,13511,10562,63,34
,51822,143309,10780,7509,4810,5477,10985,2459,54,26
,1053644,54848,6555,38463,10326,5969,7121,5182,44,34
,114013,84459,5729,32674,4979,12021,11934,8181,38,35
,908763,38095,16176,3259,5547,3879,6295,1117,38,38
,1307743,250845,176046,117789,51112,15186,47135,36089,35,57
,1087993,124385,11975,10036,5295,4059,10163,3984,24,44
,1467313,1053401,178931,56021,57563,42897,22338,8192,13,40
,587321,147507,46332,8312,9801,8378,6317,3554,7,37
,402012,101451,47811,31013,21764,11259,16336,7847,16,30
,1269627,657743,76335,91188,46367,51013,19756,10263,26,35
,33479,47488,3785,12570,16434,21102,6700,481,54,35
